48,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=2=>DeviceNameMasks.item_0000::/**
49,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanFiles::Yes
50,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanBootSectors::No
51,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanComputerMemory::No
52,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanStartupObjects::No
53,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanArchived::Yes
54,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanSfxArchived::Yes
55,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanMailBases::No
56,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanPlainMail::No
57,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ScanPriority::Normal
58,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>SizeLimit::0
59,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>TimeLimit::0
60,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>FirstAction::Disinfect
61,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>SecondAction::Recommended
62,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>UseExcludeMasks::No
63,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ExcludeMasks::No
64,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>UseExcludeThreats::No
65,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ExcludeThreats::No
66,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ReportCleanObjects::No
67,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ReportPackedObjects::No
68,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>ReportUnprocessedObjects::Yes
69,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>UseAnalyzer::Yes
70,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>HeuristicLevel::Recommended
71,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>UseIChecker::Yes
72,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=3=>DeviceNameMasks.item_0000::/**
73,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanFiles::No
74,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanBootSectors::Yes
75,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanComputerMemory::Yes
76,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanStartupObjects::Yes
77,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanArchived::Yes
78,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanSfxArchived::Yes
79,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanMailBases::No
80,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanPlainMail::No
81,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ScanPriority::Normal
82,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>SizeLimit::0
83,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>TimeLimit::0
84,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>FirstAction::Disinfect
85,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>SecondAction::Recommended
86,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>UseExcludeMasks::No
87,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ExcludeMasks::No
88,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>UseExcludeThreats::No
89,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ExcludeThreats::No
90,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ReportCleanObjects::No
91,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ReportPackedObjects::No
92,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>ReportUnprocessedObjects::Yes
93,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>UseAnalyzer::Yes
94,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>HeuristicLevel::Recommended
95,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>UseIChecker::Yes
96,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=4=>DeviceNameMasks.item_0000::/**
97,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=6=>SourceType::Custom{hand_check}
98,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=6=>UseKLServersWhenUnavailable::No
99,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=6=>ApplicationUpdateMode::Disabled
100,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=6=>ConnectionTimeout::10
101,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=6=>URL::Путь для хранения баз{hand_check}
102,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=6=>Enabled::Yes{hand_check}
103,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=10=>DaysToLive::365
104,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=10=>BackupSizeLimit::0
105,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=10=>BackupFolder::/var/opt/kaspersky/kics/common/objects-backup/
106,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=13=>UseHostBlocker::Yes
107,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=13=>BlockTime::60
108,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=13=>UseExcludeMasks::No
109,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=13=>ExcludeMasks::No
110,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=13=>AreaDesc::All objects
111,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=13=>UseScanArea::Yes
112,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=13=>AreaMask.item_0000::*
113,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=13=>Path::/
114,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>RulesAction::ApplyRules
115,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>HardDrive::Allow
116,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>RemovableDrive::Allow
117,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>FloppyDrive::Block
118,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>OpticalDrive::Block
119,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>SerialPortDevice::Block
120,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>ParallelPortDevice::Block
121,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>Printer::Allow
122,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>Modem::Block
123,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>TapeDrive::Allow
124,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>MultifuncDevice::Block
125,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>SmartCardReader::Block
126,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>WiFiAdapter::Block
127,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>NetworkAdapter::Allow
128,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>PortableDevice::Block
129,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>BluetoothDevice::Block
130,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>ImagingDevice::Block
131,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>SoundAdapter::Allow
132,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>InputDevice::Allow
133,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>USB::Allow
134,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,TaskId=15=>FireWire::Block
135,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.Schedules=>ScheduleName::Default
136,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.Schedules=>DaysHours::All
137,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.HardDrivePrincipals=>Principal::\Everyone
138,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.HardDrivePrincipals=>UseRule::Yes
139,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.HardDrivePrincipals=>ScheduleName::Default
140,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.HardDrivePrincipals=>Access::Allow
141,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.RemovableDrivePrincipals=>Principal::\Everyone
142,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.RemovableDrivePrincipals=>UseRule::Yes
143,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.RemovableDrivePrincipals=>ScheduleName::Default
144,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.RemovableDrivePrincipals=>Access::Allow
145,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.FloppyDrivePrincipals=>Principal::\Everyone
146,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.FloppyDrivePrincipals=>UseRule::Yes
147,Настройка KICS,{file}/var/opt/kaspersky/kics/private/exported_settings.ini,Settings.FloppyDrivePrincipals=>ScheduleName::Default
