Приложение Д.1.2,Управление пользователями,,@
Приложение Д.1.2.1,Создание пользователей,{cmd}id Оператор,{hand_check}
Приложение Д.1.2.5 (КИС АУДИТ Д.3.1.4),Парольная политика,faillog -u Оператор -m 50{cmd2}faillog -u Оператор,"Оператор{param_pattern}{{\s{1,}\d{1,}\s{1,}(\d{1,})}}::50"
Приложение Д.1.3,Настройка рабочей среды,,@
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/default.themerc,LockerOnLid::false
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/default.themerc,ScreenSaverDelay::0
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/default.themerc,LockerOnDPMS::false
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/default.themerc,LockerOnSleep::false
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/default.themerc,LockerOnSwitch::false
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/default.themerc,LockerTTYLock::true
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/default.themerc,LockerXaccessLock::true
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/current.themerc,LockerOnLid::false
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/ .fly/theme/current.themerc,ScreenSaverDelay::0
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/current.themerc,LockerOnDPMS::false
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/current.themerc,LockerOnSleep::false
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/current.themerc,LockerOnSwitch::false
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/current.themerc,LockerTTYLock::true
Приложение Д.1.3.1 (КИС АУДИТ Д.3.1.4),Параметры энергосбережения,{file}/home/Оператор/.fly/theme/current.themerc,LockerXaccessLock::true
Приложение Д.1.3.3,Параметры энергосбережения,{file}/home/Оператор/.config/powermanagementprofilesrc,[AC][DPMSControl]=>idleTime::0
Приложение Д.1.3.3,Параметры энергосбережения,{file}/home/Оператор/.config/powermanagementprofilesrc,[AC][DimDisplay]=>idleTime::0
Приложение Д.1.4,Настройка параметров безопасности операционной системы,,@
Приложение Д.1.4.1 (КИС АУДИТ Д.3.2.1),Настройка параметров безопасности ОС,{cmd}rm -rf ~/.bash_history,
Приложение Д.1.4.1 (КИС АУДИТ Д.3.2.1),Настройка параметров безопасности ОС,{cmd}ln -s /dev/null ~/.bash_history,
Приложение Д.1.5.4,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /home/Оператор)"" = ""700"" ] && echo ""/home/Оператор: 700"" || echo ""/home/Оператор: некорректные права""",/home/Оператор: 700
Приложение Д.5.1.3 (КИС АУДИТ Д.3.2.1),Запрет горячих клавиш в приложении spectacle,{file2}/home/Оператор/.config/kglobalshortcutsrc ,"ActiveWindowScreenShot=none,Meta+Print,Сделать снимок активного окна"
Приложение Д.5.1.3 (КИС АУДИТ Д.3.2.1),Запрет горячих клавиш в приложении spectacle,{file2}/home/Оператор/.config/kglobalshortcutsrc ,"CurrentMonitorScreenShot=none,none,Сделать снимок текущего экрана"
Приложение Д.5.1.3 (КИС АУДИТ Д.3.2.1),Запрет горячих клавиш в приложении spectacle,{file2}/home/Оператор/.config/kglobalshortcutsrc ,"FullScreenScreenShot=none,Shift+Print,Сделать снимок всех экранов"
Приложение Д.5.1.3 (КИС АУДИТ Д.3.2.1),Запрет горячих клавиш в приложении spectacle,{file2}/home/Оператор/.config/kglobalshortcutsrc ,"RectangularRegionScreenShot=none,Meta+Shift+Print,Сделать снимок прямоугольной области экрана"
Приложение Д.5.1.3 (КИС АУДИТ Д.3.2.1),Запрет горячих клавиш в приложении spectacle,{file2}/home/Оператор/.config/kglobalshortcutsrc ,"WindowUnderCursorScreenShot=none,Meta+Ctrl+Print,Создать снимок окна под курсором мыши"
Приложение Д.5.1.3 (КИС АУДИТ Д.3.2.1),Запрет горячих клавиш в приложении spectacle,{file2}/home/Оператор/.config/kglobalshortcutsrc ,_k_friendly_name=Spectacle
Приложение Д.5.1.3 (КИС АУДИТ Д.3.2.1),Запрет горячих клавиш в приложении spectacle,{file2}/home/Оператор/.config/kglobalshortcutsrc ,"_launch=none,Print,Spectacle"
