Приложение Д.1.4.12 (КИС АУДИТ Д.3.2.1),Отключение неиспользуемых сервисов,systemctl --now disable iscsi{cmd2}sudo systemctl status iscsi,"Active{param_pattern}{{\w+:\s{1,}(\w+)}}::inactive<>service could not be found"
Приложение Д.1.4.12 (КИС АУДИТ Д.3.2.1),Отключение неиспользуемых сервисов,systemctl --now disable iscsid{cmd2}sudo systemctl status iscsid,"Active{param_pattern}{{\w+:\s{1,}(\w+)}}::inactive<>service could not be found"
Приложение Д.1.4.13 (КИС АУДИТ Д.3.2.1),Синхронизация с сервером точного времени,{file}/etc/ntp.conf,{get_list}server{param_pattern}{{\w+\s+(\w+\..+\..+)}}::список адресов (NTP){hand_check}
Приложение Д.1.5,Установка корректных разрешений для системных файлов ,,@
Приложение Д.1.5.1,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/passwd)"" = ""644"" ] && echo ""/etc/passwd: 644"" || echo ""/etc/passwd: некорректные права""",/etc/passwd: 644,
Приложение Д.1.5.1,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/group)"" = ""644"" ] && echo ""/etc/group: 644"" || echo ""/etc/group: некорректные права""",/etc/group: 644,
Приложение Д.1.5.1,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/shadow)"" = ""640"" ] && echo ""/etc/shadow: 640"" || echo ""/etc/shadow: некорректные права""",/etc/shadow: 640,
Приложение Д.1.5.2,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/crontab)"" = ""644"" ] && echo ""/etc/crontab: 644"" || echo ""/etc/crontab: некорректные права""",/etc/crontab: 644,
Приложение Д.1.5.2,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/cron.d)"" = ""755"" ] && echo ""/etc/cron.d: 755"" || echo ""/etc/cron.d: некорректные права""",/etc/cron.d: 755,
Приложение Д.1.5.2,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/cron.hourly)"" = ""755"" ] && echo ""/etc/cron.hourly: 755"" || echo ""/etc/cron.hourly: некорректные права""",/etc/cron.hourly: 755,
Приложение Д.1.5.2,Установка корректных разрешений для системных файлов ,"{cmd}[ ""$(stat -c '%a' /etc/cron.daily)"" = ""755"" ] && echo ""/etc/cron.daily: 755"" || echo ""/etc/cron.daily: некорректные права""",/etc/cron.daily: 755,
